payroll (M's),HR,W,ERA,WinPercent,divID,H
31.223171,186,78,4.52,0.537931034,W,1390
28.738,192,70,5.3,0.434782609,W,1571
9.846178,146,85,4.07,0.524691358,W,1386
10.418819,121,72,3.93,0.444444444,W,1335
10.641843,173,77,4.3,0.475308642,W,1427
6.39,132,71,4.12,0.440993789,W,1327
7.26541,94,69,4.23,0.428571429,W,1493
9.4915,106,94,3.61,0.580246914,W,1393
16.919667,139,87,3.79,0.537037037,W,1464
30.160833,110,86,3.82,0.530864198,W,1434
39.696166,162,94,3.7,0.580246914,W,1454
39.183836,121,67,3.96,0.592920354,C,1133
46.961282,146,68,4.85,0.472222222,C,1417
45.1395,195,85,4.52,0.524691358,C,1586
57.74,158,80,4.73,0.49689441,C,1498
38.335,198,80,5.22,0.49382716,C,1516
25.62,162,75,4.92,0.465838509,C,1563
31.1335,216,95,4.66,0.586419753,C,1615
65.653667,214,83,4.55,0.512345679,C,1463
57.052833,217,81,4.53,0.5,C,1475
51.01,220,86,4.17,0.530864198,C,1445
65.2125,242,83,4.91,0.512345679,C,1481
75.178,200,99,3.61,0.611111111,C,1450
102.750667,236,90,4.61,0.555555556,C,1586
108.671833,190,72,4.77,0.444444444,C,1341
121.189332,235,89,4.06,0.54601227,C,1458
96.0685,184,79,4.14,0.487654321,C,1410
105.53,177,88,4.09,0.543209877,C,1467
127.789,154,79,4.1,0.487654321,C,1387
96.9195,211,85,4.02,0.524691358,C,1409
120.065277,148,63,3.98,0.388888889,C,1385
81.8305,155,73,4.29,0.450617284,C,1400
112.3737,136,76,3.98,0.469135802,C,1381
112.998667,168,78,4.1,0.481481481,C,1428
12.702917,150,77,4.16,0.47826087,E,1397
17.208165,155,70,4.49,0.4375,E,1409
14.307999,209,76,4.55,0.472049689,E,1475
13.119198,113,77,3.84,0.475308642,E,1481
10.668,124,93,3.43,0.574074074,E,1438
13.624,136,77,4.34,0.475308642,E,1474
23.175667,159,77,4.03,0.48125,E,1395
29.829686,104,78,3.39,0.481481481,E,1420
39.386666,161,84,4.18,0.518518519,E,1521
36.287333,109,49,4.47,0.433628319,C,1015
29.505834,158,73,4.13,0.506944444,C,1315
33.081,175,76,4.36,0.469135802,C,1388
42.155333,127,68,4.44,0.419753086,C,1444
50.838,212,90,4.47,0.552147239,C,1494
62.343,189,67,5.27,0.413580247,C,1411
60.539333,183,65,5.25,0.401234568,C,1426
64.715833,194,88,4.03,0.543209877,C,1409
75.690833,200,67,4.29,0.413580247,C,1351
79.868333,172,88,3.83,0.543209877,C,1431
90.56,235,89,3.81,0.549382716,C,1508
